Segment,Recency,Frequency,Monetary
Occasional / At Risk,18,5,609.09
Loyal Customers,23,3,1010.8
Hibernating,288,1,844.72
Occasional / At Risk,17,3,272.1
Hibernating,71,1,192.95
Hibernating,64,1,260.48
Loyal Customers,73,4,3042.26
Hibernating,316,2,379.45
Champions (VIP),3,4,1991.61
Lost / Low Value,244,1,66.42
Occasional / At Risk,9,5,662.6800000000001
Champions (VIP),1,4,1565.02
Hibernating,261,1,228.51000000000002
Lost / Low Value,127,1,132.6
Lost / Low Value,74,1,152.20000000000002
Loyal Customers,73,4,833.82
Loyal Customers,73,2,607.91
Loyal Customers,60,3,1839.49
Hibernating,86,1,535.4399999999999
Lost / Low Value,78,1,78.95
Loyal Customers,59,6,1582.45
Champions (VIP),1,3,976.92
Lost / Low Value,30,1,125.80000000000001
Loyal Customers,33,5,2181.58
Occasional / At Risk,41,5,580.94
Lost / Low Value,15,1,90.0
Loyal Customers,34,7,1878.75
Occasional / At Risk,79,2,206.06
Occasional / At Risk,205,2,357.7
Hibernating,34,1,210.31
Hibernating,183,3,245.23999999999998
Champions (VIP),2,24,5186.38
Champions (VIP),1,7,2451.61
Occasional / At Risk,43,5,699.45
Occasional / At Risk,86,3,446.52
Loyal Customers,40,2,205.91
Loyal Customers,12,3,547.39
Loyal Customers,96,2,508.59000000000003
Loyal Customers,26,7,793.85
Lost / Low Value,319,1,53.550000000000004
Champions (VIP),66,12,2227.55
Loyal Customers,74,4,2159.94
Occasional / At Risk,28,2,524.06
Loyal Customers,6,4,550.57
Hibernating,7,1,171.42000000000002
Lost / Low Value,216,1,39.01
Loyal Customers,82,3,1459.6100000000001
Hibernating,84,2,375.13
Hibernating,354,2,868.59
Occasional / At Risk,19,2,240.22
Loyal Customers,41,2,846.89
Hibernating,173,1,169.20000000000002
Loyal Customers,17,2,266.22
Hibernating,243,1,211.64
Champions (VIP),13,12,2013.89
Hibernating,206,1,590.9300000000001
Occasional / At Risk,50,2,233.96
Loyal Customers,23,5,674.5699999999999
Champions (VIP),10,17,1797.66
Loyal Customers,25,4,1353.5
Occasional / At Risk,15,2,321.29
Lost / Low Value,309,1,56.95
Hibernating,156,1,691.05
Lost / Low Value,307,1,75.75
Lost / Low Value,64,1,168.0
Champions (VIP),16,9,2331.81
Occasional / At Risk,15,2,256.05
Loyal Customers,11,6,1417.5
Loyal Customers,65,3,809.58
Occasional / At Risk,36,3,159.51
Loyal Customers,108,5,1471.93
Hibernating,53,1,396.97
Loyal Customers,6,2,586.91
Hibernating,47,1,113.94
Champions (VIP),1,21,3836.91
Lost / Low Value,312,1,66.52
Loyal Customers,45,2,663.08
Hibernating,65,1,398.65000000000003
Hibernating,26,1,129.44
Occasional / At Risk,29,2,148.43
Hibernating,40,1,563.0600000000001
Champions (VIP),12,7,850.48
Loyal Customers,89,3,956.76
Loyal Customers,24,4,1060.3600000000001
Hibernating,319,1,385.89
Loyal Customers,40,3,444.04
Lost / Low Value,174,1,154.54
Hibernating,117,1,209.85
Loyal Customers,31,5,384.76
Hibernating,253,1,241.32999999999998
Loyal Customers,59,5,1203.83
Hibernating,143,1,281.01
Loyal Customers,5,7,866.94
Occasional / At Risk,100,5,332.5
Loyal Customers,25,5,1764.3700000000001
Loyal Customers,33,5,1130.31
Hibernating,68,1,1031.43
Loyal Customers,37,5,720.83
Loyal Customers,52,3,733.8
Lost / Low Value,16,1,97.14
Hibernating,74,1,646.34
Hibernating,216,1,226.03
Occasional / At Risk,31,3,468.44
Loyal Customers,16,4,1979.0900000000001
Lost / Low Value,120,1,30.599999999999998
Loyal Customers,10,4,1134.52
Occasional / At Risk,257,2,333.85
Loyal Customers,17,6,1567.29
Lost / Low Value,40,1,63.3
Loyal Customers,46,3,1003.64
Loyal Customers,43,6,2261.97
Loyal Customers,114,2,753.22
Occasional / At Risk,165,2,319.79
Occasional / At Risk,11,2,321.0
Loyal Customers,10,5,1735.85
Loyal Customers,206,2,1215.27
Loyal Customers,86,3,647.0600000000001
Lost / Low Value,179,1,91.07
Occasional / At Risk,60,3,67.65
Hibernating,149,1,252.20000000000002
Champions (VIP),3,21,4272.65
Occasional / At Risk,51,2,160.2
Hibernating,75,1,333.2
Occasional / At Risk,301,2,186.39000000000001
Hibernating,19,2,297.79
Occasional / At Risk,151,2,473.38
Lost / Low Value,152,1,72.56
Champions (VIP),1,4,2109.54
Loyal Customers,18,4,796.0300000000001
Lost / Low Value,187,1,34.0
Hibernating,286,1,65.13
Occasional / At Risk,3,4,20.92
Lost / Low Value,183,1,72.0
Lost / Low Value,63,1,15.0
Lost / Low Value,59,1,81.60000000000001
Loyal Customers,25,2,749.64
Champions (VIP),4,19,2576.61
Champions (VIP),31,13,1616.53
Hibernating,39,1,151.29999999999998
Lost / Low Value,155,1,70.08000000000001
Champions (VIP),26,10,1840.13
Champions (VIP),5,9,1817.8
Occasional / At Risk,8,3,492.78000000000003
Hibernating,303,1,290.89
Hibernating,267,2,581.36
Hibernating,271,1,258.46
Champions (VIP),4,13,4698.650000000001
Lost / Low Value,32,1,94.56
Hibernating,219,2,232.16000000000003
Lost / Low Value,247,1,88.2
Loyal Customers,281,5,1016.25
Hibernating,269,1,138.28
Loyal Customers,32,6,1088.32
Occasional / At Risk,246,2,242.4
Loyal Customers,15,5,855.41
Loyal Customers,117,4,685.8
Hibernating,36,1,470.94
Loyal Customers,132,3,2004.68
Lost / Low Value,217,1,150.10000000000002
Loyal Customers,50,7,1203.52
Loyal Customers,39,2,429.11999999999995
Hibernating,29,2,285.78000000000003
Occasional / At Risk,37,6,437.44
Hibernating,136,2,522.55
Hibernating,219,2,511.59000000000003
Hibernating,28,1,491.86
Loyal Customers,25,4,1969.29
Loyal Customers,5,2,563.95
Hibernating,200,1,185.65
Lost / Low Value,18,1,125.10000000000001
Hibernating,241,1,234.71
Occasional / At Risk,72,3,405.63
Champions (VIP),17,12,1895.66
Occasional / At Risk,3,7,805.1999999999999
Loyal Customers,95,2,916.26
Hibernating,162,1,241.35999999999999
Occasional / At Risk,96,4,328.7
Occasional / At Risk,54,3,243.68
Lost / Low Value,288,1,75.6
Loyal Customers,124,6,712.84
Hibernating,288,1,710.66
Occasional / At Risk,152,2,129.6
Champions (VIP),4,9,1626.66
Champions (VIP),2,13,2850.44
Champions (VIP),12,7,1955.39
Loyal Customers,33,2,439.59000000000003
Loyal Customers,54,2,286.79
Loyal Customers,50,2,974.65
Lost / Low Value,219,1,133.2
Lost / Low Value,63,1,308.40000000000003
Loyal Customers,71,3,1347.6200000000001
Champions (VIP),2,36,7636.66
Champions (VIP),2,10,2138.4700000000003
Loyal Customers,64,4,2188.72
Loyal Customers,34,3,1017.9300000000001
Hibernating,82,1,314.15000000000003
Champions (VIP),9,20,3343.69
Lost / Low Value,103,1,178.7
Loyal Customers,7,2,247.31
Lost / Low Value,251,1,68.54
Loyal Customers,13,6,763.42
Occasional / At Risk,113,5,247.26
Lost / Low Value,367,1,148.8
Occasional / At Risk,76,2,231.55
Hibernating,4,1,236.84
Occasional / At Risk,66,2,183.05
Champions (VIP),8,24,2138.11
Occasional / At Risk,117,2,649.06
Hibernating,310,1,486.62
Hibernating,67,1,247.1
Loyal Customers,139,3,1068.52
Hibernating,255,1,277.07
Loyal Customers,31,7,2256.49
Hibernating,64,1,218.13000000000002
Lost / Low Value,367,1,80.8
Loyal Customers,6,5,1115.66
Lost / Low Value,305,1,60.300000000000004
Loyal Customers,29,2,609.16
Loyal Customers,42,3,452.1
Loyal Customers,40,4,1050.26
Loyal Customers,92,2,1334.22
Loyal Customers,22,4,3007.46
Loyal Customers,24,2,420.42
Occasional / At Risk,29,2,328.98
Hibernating,302,3,624.75
Hibernating,145,2,321.89
Loyal Customers,6,2,454.8
Loyal Customers,19,2,683.36
Loyal Customers,33,5,1171.86
Lost / Low Value,176,1,102.30000000000001
Loyal Customers,58,3,237.65
Hibernating,22,1,168.45
Loyal Customers,16,4,522.63
Lost / Low Value,19,1,52.199999999999996
Hibernating,159,1,225.45
Loyal Customers,25,4,692.37
Occasional / At Risk,212,2,221.59
Loyal Customers,6,4,510.67
Champions (VIP),59,9,2555.65
Hibernating,11,1,345.12
Lost / Low Value,65,1,157.86
Loyal Customers,25,3,733.16
Loyal Customers,52,2,1325.55
Hibernating,129,1,1478.98
Loyal Customers,96,3,1536.08
Hibernating,57,1,547.3000000000001
Champions (VIP),9,24,2557.92
Occasional / At Risk,169,3,120.3
Lost / Low Value,57,1,182.67
Hibernating,326,1,172.76000000000002
Champions (VIP),1,5,1106.93
Champions (VIP),18,8,2131.96
Hibernating,248,1,264.88
Occasional / At Risk,58,4,437.81
Lost / Low Value,74,1,145.67000000000002
Loyal Customers,31,3,709.54
Hibernating,39,1,428.37
Loyal Customers,123,4,2446.95
Champions (VIP),2,8,1713.04
Champions (VIP),23,13,5070.75
Occasional / At Risk,120,3,324.05
Hibernating,358,1,247.45000000000002
Loyal Customers,54,5,1477.82
Lost / Low Value,64,1,98.80000000000001
Lost / Low Value,86,1,17.4
Hibernating,55,1,1021.98
Champions (VIP),21,13,2927.18
Champions (VIP),18,13,2902.56
Loyal Customers,3,5,686.34
Loyal Customers,11,5,2176.33
Loyal Customers,7,4,670.45
Hibernating,189,2,390.2
Hibernating,71,1,218.56
Hibernating,204,1,293.95
Loyal Customers,120,2,496.02
Hibernating,93,1,416.90000000000003
Champions (VIP),1,10,1807.46
Occasional / At Risk,27,4,410.01
Lost / Low Value,298,1,195.70000000000002
Occasional / At Risk,24,2,430.55
Loyal Customers,28,4,2144.67
Hibernating,50,1,311.16
Lost / Low Value,326,1,138.93
Occasional / At Risk,16,2,337.52
Hibernating,193,2,553.95
Loyal Customers,72,5,2365.83
Occasional / At Risk,37,2,332.64
Loyal Customers,80,4,1948.9
Loyal Customers,144,8,1872.71
Loyal Customers,12,2,604.83
Occasional / At Risk,50,2,252.14000000000001
Occasional / At Risk,50,2,565.1
Occasional / At Risk,59,2,331.86
Lost / Low Value,352,1,81.6
Hibernating,54,1,317.63
Champions (VIP),2,6,1544.05
Loyal Customers,93,4,411.1
Lost / Low Value,23,1,150.10000000000002
Hibernating,75,1,348.99
Occasional / At Risk,11,4,336.47
Occasional / At Risk,169,2,285.45
Occasional / At Risk,58,2,337.34
Loyal Customers,96,2,956.13
Lost / Low Value,295,1,195.8
Hibernating,109,2,576.99
Hibernating,264,1,818.65
Hibernating,180,1,369.74
Lost / Low Value,169,1,128.25
Lost / Low Value,35,1,71.66
Occasional / At Risk,23,3,466.37
Loyal Customers,17,4,648.5600000000001
Occasional / At Risk,22,5,1389.88
Occasional / At Risk,79,3,57.33
Lost / Low Value,65,1,90.6
Lost / Low Value,361,1,70.19999999999999
Champions (VIP),3,6,2119.84
Occasional / At Risk,11,4,437.65999999999997
Loyal Customers,176,3,504.09000000000003
Loyal Customers,218,2,2300.81
Occasional / At Risk,7,2,265.68
Occasional / At Risk,2,2,307.82
Occasional / At Risk,154,2,239.31
Loyal Customers,5,5,671.39
Loyal Customers,79,3,508.59000000000003
Occasional / At Risk,21,2,230.22
Occasional / At Risk,22,2,82.1
Loyal Customers,308,4,469.02
Lost / Low Value,146,1,35.7
Champions (VIP),7,18,6473.63
Champions (VIP),19,8,2502.56
Occasional / At Risk,71,2,174.35
Lost / Low Value,287,1,186.75
Hibernating,49,1,413.59000000000003
Champions (VIP),31,6,2224.15
Lost / Low Value,207,1,227.96
Occasional / At Risk,15,2,132.53
Hibernating,73,1,869.87
Lost / Low Value,60,1,116.78
Loyal Customers,39,4,1424.6
Loyal Customers,40,9,1277.8
Occasional / At Risk,27,4,277.43
Champions (VIP),4,15,6863.2300000000005
Hibernating,17,1,186.06
Champions (VIP),20,6,3170.07
Occasional / At Risk,66,2,462.21
Hibernating,213,1,292.58
Loyal Customers,12,6,720.84
Lost / Low Value,30,1,76.8
Loyal Customers,43,8,2127.26
Champions (VIP),4,6,2002.19
Loyal Customers,15,5,1308.99
Champions (VIP),10,12,3506.81
Lost / Low Value,211,1,262.2
Occasional / At Risk,46,3,828.0
Hibernating,134,2,368.59999999999997
Loyal Customers,43,7,2921.96
Loyal Customers,10,5,1242.9
Occasional / At Risk,116,3,503.6
Hibernating,198,2,646.8100000000001
Hibernating,278,1,328.8
Occasional / At Risk,110,3,435.58
Hibernating,77,1,304.42
Hibernating,53,1,607.62
Loyal Customers,162,4,2642.62
Loyal Customers,47,3,991.01
Loyal Customers,17,2,573.86
Occasional / At Risk,155,3,495.7
Hibernating,225,1,396.8
Occasional / At Risk,7,2,540.77
Hibernating,122,2,298.45
Lost / Low Value,61,1,104.82
Occasional / At Risk,63,2,315.66
Champions (VIP),18,8,1594.7
Champions (VIP),7,16,6164.41
Champions (VIP),2,11,2173.0099999999998
Loyal Customers,22,3,343.84
Loyal Customers,29,5,876.07
Hibernating,285,1,451.25
Occasional / At Risk,176,2,139.25
Loyal Customers,78,3,1560.38
Lost / Low Value,33,1,82.6
Champions (VIP),41,12,1910.76
Hibernating,266,1,141.41
Loyal Customers,27,4,532.12
Lost / Low Value,284,1,44.309999999999995
Occasional / At Risk,9,4,580.2
Hibernating,305,1,399.85
Champions (VIP),17,4,4584.74
Loyal Customers,32,2,746.36
Champions (VIP),1,23,10378.01
Hibernating,20,1,173.66
Lost / Low Value,160,1,41.75
Lost / Low Value,65,1,92.46
Lost / Low Value,106,1,149.14
Champions (VIP),1,23,5869.21
Champions (VIP),24,15,4100.97
Lost / Low Value,267,1,132.6
Champions (VIP),5,16,2591.62
Champions (VIP),10,9,2289.89
Loyal Customers,29,5,783.75
Lost / Low Value,267,1,114.3
Hibernating,64,2,275.04
Hibernating,320,1,248.85000000000002
Champions (VIP),4,8,988.91
Hibernating,32,1,151.04
Loyal Customers,5,3,728.54
Hibernating,129,1,101.72
Occasional / At Risk,41,5,354.05
Loyal Customers,102,6,936.7199999999999
Lost / Low Value,125,1,147.25
Lost / Low Value,33,1,45.599999999999994
Hibernating,302,2,682.15
Hibernating,365,1,127.05
Champions (VIP),4,8,820.1
Champions (VIP),2,18,3838.85
Hibernating,3,1,185.17
Champions (VIP),10,12,15700.62
Lost / Low Value,57,1,111.05
Champions (VIP),8,14,3874.81
Hibernating,12,1,411.9
Champions (VIP),4,17,36019.84
Hibernating,37,1,147.35
Champions (VIP),16,11,2668.76
Hibernating,138,1,144.25
Lost / Low Value,295,1,2.95
Loyal Customers,5,5,563.48
Lost / Low Value,166,1,69.71
Hibernating,239,1,1089.14
Loyal Customers,52,7,2413.2200000000003
Loyal Customers,31,2,544.36
Lost / Low Value,73,1,144.2
Champions (VIP),37,10,2927.37
Occasional / At Risk,96,2,63.3
Loyal Customers,23,6,2505.16
Occasional / At Risk,4,4,619.02
Lost / Low Value,331,1,195.13
Loyal Customers,20,5,1091.04
Lost / Low Value,144,1,90.0
Champions (VIP),4,4,2370.56
Loyal Customers,11,3,2376.73
Hibernating,11,1,183.4
Occasional / At Risk,123,3,503.01
Loyal Customers,61,2,625.0
Loyal Customers,2,5,1077.06
Hibernating,319,1,360.46
Champions (VIP),2,11,2714.17
Occasional / At Risk,130,3,499.28999999999996
Champions (VIP),2,15,2849.29
Loyal Customers,2,2,965.8800000000001
Hibernating,46,1,278.28
Loyal Customers,4,2,913.18
Loyal Customers,3,4,902.38
Hibernating,373,1,280.95
Lost / Low Value,134,1,64.8
Champions (VIP),9,5,3054.55
Occasional / At Risk,78,2,61.8
Lost / Low Value,234,1,29.700000000000003
Hibernating,221,1,421.12
Occasional / At Risk,36,2,584.74
Loyal Customers,75,2,602.57
Hibernating,239,2,682.92
Lost / Low Value,266,1,118.75
Champions (VIP),10,41,18276.11
Occasional / At Risk,20,2,404.73
Hibernating,40,1,397.38
Champions (VIP),20,11,4426.01
Loyal Customers,216,3,878.02
Occasional / At Risk,174,2,198.11
Loyal Customers,87,4,1051.6100000000001
Hibernating,81,1,374.4
Lost / Low Value,276,1,82.19
Occasional / At Risk,39,4,512.84
Hibernating,98,1,308.44
Occasional / At Risk,11,4,222.34
Hibernating,33,1,124.51
Loyal Customers,60,3,2177.5
Loyal Customers,297,4,517.2
Loyal Customers,86,4,450.77
Champions (VIP),9,7,1446.49
Loyal Customers,41,2,548.67
Champions (VIP),11,25,1779.8200000000002
Hibernating,67,1,245.59
Lost / Low Value,331,1,12.75
Loyal Customers,31,6,1763.8600000000001
Champions (VIP),2,15,3787.7400000000002
Champions (VIP),2,13,4273.1
Occasional / At Risk,68,2,737.15
Champions (VIP),5,21,9440.61
Lost / Low Value,107,1,73.72
Occasional / At Risk,18,4,504.6
Lost / Low Value,218,1,10.2
Occasional / At Risk,60,7,522.64
Hibernating,2,1,128.16
Occasional / At Risk,17,2,288.2
Hibernating,239,1,302.65999999999997
Lost / Low Value,95,1,101.14
Loyal Customers,11,6,1098.55
Loyal Customers,106,6,1616.1200000000001
Loyal Customers,53,9,1761.15
Loyal Customers,31,5,938.14
Loyal Customers,12,6,1650.47
Loyal Customers,3,4,1082.66
Champions (VIP),2,17,1253.13
Hibernating,43,1,169.48000000000002
Lost / Low Value,4,1,73.44
Occasional / At Risk,247,2,510.72
Champions (VIP),42,9,2655.95
Hibernating,177,1,576.5
Loyal Customers,92,3,736.5600000000001
Loyal Customers,110,4,645.21
Loyal Customers,30,4,1256.49
Champions (VIP),26,9,2897.32
Occasional / At Risk,52,3,757.8
Loyal Customers,184,3,793.26
Loyal Customers,43,5,1630.66
Occasional / At Risk,49,4,916.9200000000001
Loyal Customers,22,4,706.92
Loyal Customers,75,5,1505.34
Occasional / At Risk,81,2,302.64
Lost / Low Value,373,1,77.45
Lost / Low Value,326,1,96.2
Champions (VIP),43,11,1996.75
Loyal Customers,30,2,745.14
Lost / Low Value,184,1,213.70000000000002
Occasional / At Risk,235,2,219.25
Champions (VIP),9,10,2205.13
Loyal Customers,220,2,1516.7
Loyal Customers,111,3,1293.0
Lost / Low Value,278,1,104.12
Lost / Low Value,318,1,98.58
Loyal Customers,7,3,1823.13
Champions (VIP),2,5,1796.8200000000002
Hibernating,260,2,738.0600000000001
Loyal Customers,64,5,2451.6
Champions (VIP),9,9,2439.26
Lost / Low Value,142,1,104.1
Hibernating,79,1,633.79
Champions (VIP),8,8,2337.11
Occasional / At Risk,155,2,177.17000000000002
Hibernating,109,2,333.43
Loyal Customers,163,3,940.44
Hibernating,332,1,341.65000000000003
Lost / Low Value,226,1,92.42
Occasional / At Risk,74,2,330.2
Occasional / At Risk,51,4,559.97
Loyal Customers,99,3,1042.49
Loyal Customers,15,3,2830.32
Lost / Low Value,197,1,92.63999999999999
Champions (VIP),3,15,2651.88
Loyal Customers,31,2,505.3
Occasional / At Risk,21,4,368.78000000000003
Loyal Customers,24,3,3926.34
Occasional / At Risk,8,2,159.35
Hibernating,213,1,306.0
Occasional / At Risk,9,6,508.06
Loyal Customers,11,5,1983.2
Champions (VIP),2,11,3262.5
Champions (VIP),8,9,1665.33
Loyal Customers,3,4,951.1600000000001
Lost / Low Value,40,1,166.20000000000002
Loyal Customers,18,4,1102.85
Champions (VIP),8,40,24387.53
Champions (VIP),8,8,2234.89
Lost / Low Value,19,1,43.2
Lost / Low Value,117,1,128.7
Hibernating,223,1,224.4
Loyal Customers,71,3,1811.16
Loyal Customers,51,2,697.88
Loyal Customers,89,6,2682.61
Champions (VIP),8,9,1766.45
Hibernating,243,1,198.97
Loyal Customers,47,6,1265.06
Lost / Low Value,107,1,93.47999999999999
Loyal Customers,45,6,2014.03
Hibernating,65,1,375.58
Occasional / At Risk,207,2,457.89
Loyal Customers,11,5,1178.4
Occasional / At Risk,115,2,517.66
Lost / Low Value,242,1,123.85000000000001
Hibernating,163,1,311.65
Champions (VIP),17,7,3974.03
Hibernating,124,2,395.76
Occasional / At Risk,23,3,559.05
Lost / Low Value,68,1,188.20000000000002
Champions (VIP),17,8,1829.61
Loyal Customers,16,2,409.2
Loyal Customers,17,4,1281.1100000000001
Hibernating,196,1,443.2
Hibernating,243,1,309.52
Lost / Low Value,219,1,134.7
Loyal Customers,45,8,1858.47
Occasional / At Risk,21,4,322.8
Loyal Customers,127,8,615.5300000000001
Lost / Low Value,39,1,108.97999999999999
Loyal Customers,121,2,799.46
Hibernating,260,1,297.87
Hibernating,10,1,125.0
Hibernating,274,1,282.93
Lost / Low Value,165,1,51.0
Loyal Customers,157,4,821.76
Lost / Low Value,215,1,90.6
Occasional / At Risk,6,2,126.17999999999999
Lost / Low Value,366,1,158.5
Hibernating,80,2,480.93
Hibernating,43,1,215.17000000000002
Loyal Customers,19,3,799.08
Loyal Customers,32,4,1722.63
Hibernating,22,1,138.75
Loyal Customers,109,8,1022.95
Champions (VIP),8,16,7225.1900000000005
Lost / Low Value,320,1,105.2
Lost / Low Value,295,1,100.5
Lost / Low Value,358,1,10.2
Hibernating,185,1,219.66
Occasional / At Risk,191,2,155.25
Occasional / At Risk,44,2,340.15000000000003
Hibernating,52,1,202.68
Hibernating,26,1,448.58
Loyal Customers,38,3,903.67
Loyal Customers,9,3,202.11
Lost / Low Value,297,1,93.6
Loyal Customers,33,3,1458.25
Champions (VIP),10,8,2804.56
Loyal Customers,65,2,792.94
Champions (VIP),10,9,3415.92
Lost / Low Value,218,1,67.95
Champions (VIP),2,9,3129.21
Loyal Customers,65,2,451.09
Champions (VIP),3,16,994.8199999999999
Hibernating,149,1,326.48
Champions (VIP),4,13,2722.94
Occasional / At Risk,217,2,283.95000000000005
Loyal Customers,34,6,1078.73
Lost / Low Value,119,1,106.25
Loyal Customers,107,5,981.53
Champions (VIP),11,7,1816.03
Loyal Customers,71,4,875.4200000000001
Loyal Customers,92,9,886.72
Hibernating,311,1,539.4000000000001
Hibernating,43,2,562.33
Hibernating,362,1,111.10000000000001
Loyal Customers,92,7,1033.42
Champions (VIP),1,13,5144.24
Hibernating,22,2,189.5
Loyal Customers,4,3,1517.64
Loyal Customers,11,6,1025.94
Hibernating,99,1,387.52
Occasional / At Risk,57,2,728.61
Champions (VIP),1,6,3462.69
Lost / Low Value,218,1,20.4
Champions (VIP),24,9,2998.21
Hibernating,50,2,287.74
Loyal Customers,7,5,764.04
Hibernating,303,1,303.66
Champions (VIP),10,6,2025.91
Occasional / At Risk,22,6,964.8000000000001
Lost / Low Value,99,1,76.56
Lost / Low Value,366,1,63.0
Lost / Low Value,306,1,131.9
Hibernating,320,1,1637.3
Loyal Customers,8,5,1549.88
Loyal Customers,1,4,1378.5900000000001
Loyal Customers,205,2,677.47
Loyal Customers,54,4,1370.33
Champions (VIP),1,4,899.22
Loyal Customers,19,5,1147.33
Occasional / At Risk,9,2,127.80000000000001
Loyal Customers,19,4,852.55
Loyal Customers,181,3,483.25
Loyal Customers,60,2,626.9
Loyal Customers,11,2,191.5
Hibernating,190,1,109.98
Champions (VIP),5,9,2662.98
Lost / Low Value,311,1,68.64
Hibernating,155,1,1274.16
Occasional / At Risk,110,3,150.0
Loyal Customers,148,3,1467.92
Champions (VIP),66,11,1633.88
Lost / Low Value,205,1,39.599999999999994
Hibernating,247,3,486.59000000000003
Loyal Customers,29,7,1400.65
Loyal Customers,18,4,530.01
Occasional / At Risk,12,2,303.99
Loyal Customers,104,8,1507.9
Lost / Low Value,74,1,95.28
Hibernating,46,1,240.06
Occasional / At Risk,72,3,683.01
Hibernating,257,1,183.05
Lost / Low Value,51,1,83.2
Occasional / At Risk,254,2,252.65
Hibernating,11,1,262.55
Occasional / At Risk,165,2,538.41
Loyal Customers,18,6,1041.28
Lost / Low Value,282,1,137.1
Hibernating,50,1,301.76
Hibernating,39,1,144.35
Loyal Customers,27,6,946.3299999999999
Hibernating,68,1,706.18
Hibernating,207,1,433.5
Occasional / At Risk,175,2,220.98
Champions (VIP),7,5,2047.03
Lost / Low Value,26,1,139.56
Occasional / At Risk,51,2,123.8
Occasional / At Risk,312,2,291.92
Hibernating,309,1,335.52
Loyal Customers,43,5,1519.27
Loyal Customers,26,3,768.74
Occasional / At Risk,88,2,218.10000000000002
Occasional / At Risk,184,2,251.21
Champions (VIP),20,9,1914.94
Champions (VIP),3,6,2664.66
Loyal Customers,47,4,522.21
Champions (VIP),17,8,4940.0
Loyal Customers,17,5,1206.85
Loyal Customers,40,5,928.78
Loyal Customers,22,2,196.0
Loyal Customers,11,5,1173.41
Hibernating,188,2,175.63
Occasional / At Risk,207,2,183.75
Loyal Customers,61,3,732.3
Loyal Customers,18,6,1542.51
Occasional / At Risk,33,2,192.55
Lost / Low Value,64,1,112.44
Lost / Low Value,2,1,10.2
Occasional / At Risk,72,3,405.26
Lost / Low Value,108,1,160.91
Champions (VIP),32,9,1438.78
Champions (VIP),20,9,2245.81
Champions (VIP),3,54,4319.12
Hibernating,37,1,234.83999999999997
Loyal Customers,60,3,542.96
Loyal Customers,26,6,1982.45
Occasional / At Risk,236,3,200.4
Occasional / At Risk,25,6,757.44
Champions (VIP),3,18,3186.6800000000003
Loyal Customers,60,3,2492.68
Lost / Low Value,260,1,76.0
Hibernating,58,1,355.56
Occasional / At Risk,65,2,334.35
Loyal Customers,16,2,500.32
Loyal Customers,10,3,836.51
Loyal Customers,59,8,1372.05
Lost / Low Value,186,1,103.25
Loyal Customers,29,16,1131.39
Loyal Customers,24,2,1175.57
Champions (VIP),5,5,2366.38
Champions (VIP),4,8,3315.76
Hibernating,311,1,224.98000000000002
Loyal Customers,11,2,650.77
Occasional / At Risk,18,2,148.23
Hibernating,152,1,156.27
Loyal Customers,19,5,543.62
Loyal Customers,10,4,1863.18
Occasional / At Risk,57,2,251.7
Hibernating,85,1,287.44
Occasional / At Risk,17,13,600.03
Loyal Customers,76,3,957.37
Champions (VIP),4,18,4012.62
Loyal Customers,96,4,2636.81
Loyal Customers,57,2,1257.96
Lost / Low Value,1,1,80.09
Hibernating,281,2,189.36
Champions (VIP),3,7,2333.51
Loyal Customers,180,9,778.7
Lost / Low Value,372,1,35.400000000000006
Loyal Customers,13,4,859.71
Hibernating,3,1,111.51
Lost / Low Value,17,1,95.67
Lost / Low Value,41,1,94.21000000000001
Champions (VIP),6,5,799.4
Loyal Customers,169,4,825.76
Hibernating,50,1,148.55
Hibernating,277,1,202.44
Champions (VIP),19,9,1258.33
Loyal Customers,15,4,876.86
Loyal Customers,35,3,516.29
Loyal Customers,22,3,450.95
Occasional / At Risk,7,2,273.28
Loyal Customers,20,6,1524.96
Hibernating,11,1,295.74
Hibernating,44,1,221.97
Hibernating,306,1,236.43
Lost / Low Value,11,1,123.96000000000001
Champions (VIP),1,90,8207.41
Occasional / At Risk,19,3,450.9
Occasional / At Risk,4,3,1017.1500000000001
Lost / Low Value,285,1,10.08
Occasional / At Risk,9,3,408.84000000000003
Hibernating,246,1,263.74
Occasional / At Risk,206,2,318.54
Champions (VIP),1,5,1490.42
Hibernating,185,1,288.78000000000003
Loyal Customers,32,5,683.62
Hibernating,57,2,225.85
Loyal Customers,196,2,668.48
Loyal Customers,24,4,2035.8200000000002
Occasional / At Risk,91,2,411.71000000000004
Loyal Customers,4,2,564.91
Occasional / At Risk,51,3,722.9200000000001
Lost / Low Value,263,1,79.94
Hibernating,266,1,235.4
Occasional / At Risk,36,2,609.85
Hibernating,51,1,269.6
Loyal Customers,52,6,2119.57
Loyal Customers,24,6,1651.76
Lost / Low Value,22,1,110.46
Lost / Low Value,59,1,19.8
Occasional / At Risk,170,2,295.87
Occasional / At Risk,68,2,381.02000000000004
Occasional / At Risk,157,2,419.42
Champions (VIP),2,46,11901.92
Hibernating,201,1,236.04000000000002
Loyal Customers,5,4,964.26
Loyal Customers,67,2,560.3
Hibernating,77,1,94.28
Champions (VIP),1,7,1483.15
Loyal Customers,8,4,939.2800000000001
Hibernating,169,2,240.95000000000002
Loyal Customers,18,4,707.37
Occasional / At Risk,5,2,110.60000000000001
Champions (VIP),9,9,2302.78
Hibernating,87,2,256.24
